university,province,subject_type,min_score,min_rank,avg_score
华中科技大学,四川,理科,655,600,662
中山大学,北京,理科,648,720,655
中山大学,广东,物理,643,780,651
中山大学,浙江,综合,653,600,661
中山大学,山东,综合,645,740,653
中山大学,湖北,物理,641,800,649
中山大学,四川,理科,651,660,658
哈尔滨工业大学,北京,理科,645,780,652
哈尔滨工业大学,广东,物理,640,830,648
哈尔滨工业大学,浙江,综合,650,650,658
哈尔滨工业大学,山东,综合,642,800,650
哈尔滨工业大学,湖北,物理,638,860,646
哈尔滨工业大学,四川,理科,648,720,655
西安交通大学,北京,理科,642,830,649
西安交通大学,广东,物理,637,880,645
西安交通大学,浙江,综合,647,700,655
西安交通大学,山东,综合,639,850,647
西安交通大学,湖北,物理,635,910,643
西安交通大学,四川,理科,645,770,652
同济大学,北京,理科,640,860,647
同济大学,广东,物理,635,910,643
同济大学,浙江,综合,645,740,653
同济大学,山东,综合,637,880,645
同济大学,湖北,物理,633,940,641
同济大学,四川,理科,643,800,650
四川大学,北京,理科,635,940,642
四川大学,广东,物理,630,980,638
四川大学,浙江,综合,640,830,648
四川大学,山东,综合,632,950,640
四川大学,湖北,物理,628,1010,636
四川大学,四川,理科,638,870,645
山东大学,北京,理科,630,1020,637
山东大学,广东,物理,625,1060,633
山东大学,浙江,综合,635,910,643
山东大学,山东,综合,627,1030,635
山东大学,湖北,物理,623,1090,631
山东大学,四川,理科,633,940,640
厦门大学,北京,理科,632,980,639
厦门大学,广东,物理,627,1030,635
厦门大学,浙江,综合,637,880,645
厦门大学,山东,综合,629,1000,637
厦门大学,湖北,物理,625,1060,633
厦门大学,四川,理科,635,910,642
北京师范大学,北京,理科,638,880,645
北京师范大学,广东,物理,633,940,641
北京师范大学,浙江,综合,643,780,651
北京师范大学,山东,综合,635,910,643
北京师范大学,湖北,物理,631,970,639
北京师范大学,四川,理科,641,830,648
南开大学,北京,理科,636,910,643
南开大学,广东,物理,631,970,639
南开大学,浙江,综合,641,810,649
南开大学,山东,综合,633,940,641
南开大学,湖北,物理,629,1000,637
南开大学,四川,理科,639,860,646
北京邮电大学,北京,理科,630,1020,637
北京邮电大学,广东,物理,625,1060,633
北京邮电大学,浙江,综合,635,910,643
北京邮电大学,山东,综合,627,1030,635
北京邮电大学,湖北,物理,623,1090,631
北京邮电大学,四川,理科,633,940,640
上海财经大学,北京,理科,628,1050,635
上海财经大学,上海,综合,560,800,568
上海财经大学,广东,物理,623,1090,631
上海财经大学,浙江,综合,633,940,641
上海财经大学,山东,综合,625,1060,633
上海财经大学,湖北,物理,621,1120,629
上海财经大学,四川,理科,631,980,638
深圳大学,广东,物理,600,1800,608
深圳大学,广东,历史,585,2200,593
深圳大学,浙江,综合,610,1500,618
深圳大学,山东,综合,602,1750,610
深圳大学,湖北,物理,598,1850,606
深圳大学,四川,理科,608,1600,615
广东工业大学,广东,物理,575,3000,583
广东工业大学,广东,历史,560,3500,568
广东工业大学,浙江,综合,585,2500,593
广东工业大学,山东,综合,577,2900,585
广东工业大学,湖北,物理,573,3100,581
广东工业大学,四川,理科,583,2600,591
浙江工业大学,浙江,综合,590,2300,598
浙江工业大学,广东,物理,578,2850,586
浙江工业大学,山东,综合,580,2750,588
浙江工业大学,湖北,物理,576,2950,584
浙江工业大学,四川,理科,586,2450,594
杭州电子科技大学,浙江,综合,585,2500,593
杭州电子科技大学,广东,物理,573,3100,581
杭州电子科技大学,山东,综合,575,3000,583
杭州电子科技大学,湖北,物理,571,3200,579
杭州电子科技大学,四川,理科,581,2700,589
南京邮电大学,江苏,物理,570,3300,578
南京邮电大学,广东,物理,568,3400,576
南京邮电大学,浙江,综合,580,2750,588
南京邮电大学,山东,综合,572,3150,580
南京邮电大学,湖北,物理,566,3500,574
南京邮电大学,四川,理科,576,2950,584
成都理工大学,四川,理科,555,4500,563
成都理工大学,广东,物理,548,4800,556
成都理工大学,浙江,综合,562,4000,570
成都理工大学,山东,综合,554,4550,562
成都理工大学,湖北,物理,546,4900,554
长沙理工大学,湖南,物理,545,5000,553
长沙理工大学,广东,物理,540,5200,548
长沙理工大学,浙江,综合,555,4500,563
长沙理工大学,山东,综合,547,4850,555
长沙理工大学,湖北,物理,538,5300,546
长沙理工大学,四川,理科,550,4700,558
重庆邮电大学,重庆,物理,540,5200,548
重庆邮电大学,广东,物理,535,5500,543
重庆邮电大学,浙江,综合,550,4700,558
重庆邮电大学,山东,综合,542,5100,550
重庆邮电大学,湖北,物理,533,5600,541
重庆邮电大学,四川,理科,545,5000,553
西安理工大学,陕西,理科,520,7000,528
西安理工大学,广东,物理,515,7200,523
西安理工大学,浙江,综合,532,5700,540
西安理工大学,山东,综合,524,6500,532
西安理工大学,湖北,物理,513,7300,521
西安理工大学,四川,理科,528,6200,536
昆明理工大学,云南,理科,510,8000,518
昆明理工大学,广东,物理,505,8300,513
昆明理工大学,浙江,综合,522,6700,530
昆明理工大学,山东,综合,514,7500,522
昆明理工大学,湖北,物理,503,8400,511
昆明理工大学,四川,理科,518,7200,526
黄河科技学院,河南,理科,430,25000,438
黄河科技学院,河南,文科,445,22000,453
黄河科技学院,广东,物理,440,24000,448
武昌首义学院,湖北,物理,440,24000,448
武昌首义学院,湖北,历史,455,21000,463
武昌首义学院,广东,物理,435,25500,443
西安欧亚学院,陕西,理科,420,27000,428
西安欧亚学院,陕西,文科,435,25000,443
西安欧亚学院,广东,物理,425,26000,433
山东英才学院,山东,综合,440,24000,448
山东英才学院,广东,物理,430,26000,438
山东英才学院,河南,理科,435,25500,443
北京城市学院,北京,综合,450,21000,458
北京城市学院,广东,物理,438,24500,446
北京城市学院,山东,综合,442,23500,450
