name,province,city,type,tags,website
北京建筑大学,北京,北京,理工,,https://www.bucea.edu.cn
北京信息科技大学,北京,北京,理工,,https://www.bistu.edu.cn
北方工业大学,北京,北京,理工,,https://www.ncut.edu.cn
北京联合大学,北京,北京,综合,,https://www.buu.edu.cn
北京第二外国语学院,北京,北京,语言,,https://www.bisu.edu.cn
中国传媒大学,北京,北京,语言,211|双一流,https://www.cuc.edu.cn
中央音乐学院,北京,北京,艺术,211|双一流,https://www.ccom.edu.cn
中央美术学院,北京,北京,艺术,双一流,https://www.cafa.edu.cn
北京体育大学,北京,北京,体育,211|双一流,https://www.bsu.edu.cn
外交学院,北京,北京,政法,双一流,https://www.cfau.edu.cn
中国人民公安大学,北京,北京,政法,双一流,https://www.ppsuc.edu.cn
复旦大学,上海,上海,综合,985|211|双一流,https://www.fudan.edu.cn
上海交通大学,上海,上海,综合,985|211|双一流,https://www.sjtu.edu.cn
同济大学,上海,上海,理工,985|211|双一流,https://www.tongji.edu.cn
华东师范大学,上海,上海,师范,985|211|双一流,https://www.ecnu.edu.cn
华东理工大学,上海,上海,理工,211|双一流,https://www.ecust.edu.cn
上海大学,上海,上海,综合,211|双一流,https://www.shu.edu.cn
东华大学,上海,上海,理工,211|双一流,https://www.dhu.edu.cn
上海财经大学,上海,上海,财经,211|双一流,https://www.shufe.edu.cn
上海外国语大学,上海,上海,语言,211|双一流,https://www.shisu.edu.cn
华东政法大学,上海,上海,政法,,https://www.ecupl.edu.cn
上海师范大学,上海,上海,师范,,https://www.shnu.edu.cn
上海理工大学,上海,上海,理工,,https://www.usst.edu.cn
上海对外经贸大学,上海,上海,财经,,https://www.suibe.edu.cn
上海海洋大学,上海,上海,农林,双一流,https://www.shou.edu.cn
上海中医药大学,上海,上海,医药,双一流,https://www.shutcm.edu.cn
上海科技大学,上海,上海,理工,双一流,https://www.shanghaitech.edu.cn
上海纽约大学,上海,上海,综合,,https://shanghai.nyu.edu
上海体育大学,上海,上海,体育,双一流,https://www.sus.edu.cn
上海音乐学院,上海,上海,艺术,双一流,https://www.shcmusic.edu.cn
上海戏剧学院,上海,上海,艺术,,https://www.sta.edu.cn
中山大学,广东,广州,综合,985|211|双一流,https://www.sysu.edu.cn
华南理工大学,广东,广州,理工,985|211|双一流,https://www.scut.edu.cn
暨南大学,广东,广州,综合,211|双一流,https://www.jnu.edu.cn
华南师范大学,广东,广州,师范,211|双一流,https://www.scnu.edu.cn
华南农业大学,广东,广州,农林,双一流,https://www.scau.edu.cn
广州医科大学,广东,广州,医药,双一流,https://www.gzhmu.edu.cn
广州中医药大学,广东,广州,医药,双一流,https://www.gzucm.edu.cn
南方科技大学,广东,深圳,理工,双一流,https://www.sustech.edu.cn
深圳大学,广东,深圳,综合,,https://www.szu.edu.cn
广东工业大学,广东,广州,理工,,https://www.gdut.edu.cn
广州大学,广东,广州,综合,,https://www.gzhu.edu.cn
汕头大学,广东,汕头,综合,,https://www.stu.edu.cn
南方医科大学,广东,广州,医药,,https://www.smu.edu.cn
广东外语外贸大学,广东,广州,语言,,https://www.gdufs.edu.cn
广东财经大学,广东,广州,财经,,https://www.gdufe.edu.cn
广东海洋大学,广东,湛江,农林,,https://www.gdou.edu.cn
佛山科学技术学院,广东,佛山,理工,,https://www.fosu.edu.cn
东莞理工学院,广东,东莞,理工,,https://www.dgut.edu.cn
五邑大学,广东,江门,综合,,https://www.wyu.edu.cn
广东金融学院,广东,广州,财经,,https://www.gduf.edu.cn
岭南师范学院,广东,湛江,师范,,https://www.lingnan.edu.cn
韩山师范学院,广东,潮州,师范,,https://www.hstc.edu.cn
嘉应学院,广东,梅州,综合,,https://www.jyu.edu.cn
广东技术师范大学,广东,广州,师范,,https://www.gpnu.edu.cn
仲恺农业工程学院,广东,广州,农林,,https://www.zhku.edu.cn
广东药科大学,广东,广州,医药,,https://www.gdpu.edu.cn
广州美术学院,广东,广州,艺术,,https://www.gzarts.edu.cn
星海音乐学院,广东,广州,艺术,,https://www.xhcom.edu.cn
广州体育学院,广东,广州,体育,,https://www.gipe.edu.cn
哈尔滨工业大学（深圳）,广东,深圳,理工,985|211|双一流,https://www.hitsz.edu.cn
北京师范大学（珠海校区）,广东,珠海,师范,985|211|双一流,https://www.bnu.edu.cn
中山大学（深圳校区）,广东,深圳,综合,985|211|双一流,https://www.sysu.edu.cn
南京大学,江苏,南京,综合,985|211|双一流,https://www.nju.edu.cn
东南大学,江苏,南京,综合,985|211|双一流,https://www.seu.edu.cn
南京航空航天大学,江苏,南京,理工,211|双一流,https://www.nuaa.edu.cn
南京理工大学,江苏,南京,理工,211|双一流,https://www.njust.edu.cn
河海大学,江苏,南京,理工,211|双一流,https://www.hhu.edu.cn
南京农业大学,江苏,南京,农林,211|双一流,https://www.njau.edu.cn
中国矿业大学,江苏,徐州,理工,211|双一流,https://www.cumt.edu.cn
南京师范大学,江苏,南京,师范,211|双一流,https://www.njnu.edu.cn
苏州大学,江苏,苏州,综合,211|双一流,https://www.suda.edu.cn
江南大学,江苏,无锡,综合,211|双一流,https://www.jiangnan.edu.cn
南京邮电大学,江苏,南京,理工,双一流,https://www.njupt.edu.cn
南京信息工程大学,江苏,南京,理工,双一流,https://www.nuist.edu.cn
南京林业大学,江苏,南京,农林,双一流,https://www.njfu.edu.cn
南京医科大学,江苏,南京,医药,双一流,https://www.njmu.edu.cn
南京中医药大学,江苏,南京,医药,双一流,https://www.njucm.edu.cn
中国药科大学,江苏,南京,医药,211|双一流,https://www.cpu.edu.cn
南京审计大学,江苏,南京,财经,,https://www.nau.edu.cn
南京财经大学,江苏,南京,财经,,https://www.nufe.edu.cn
南京工业大学,江苏,南京,理工,,https://www.njtech.edu.cn
江苏大学,江苏,镇江,综合,,https://www.ujs.edu.cn
扬州大学,江苏,扬州,综合,,https://www.yzu.edu.cn
南通大学,江苏,南通,综合,,https://www.ntu.edu.cn
江苏科技大学,江苏,镇江,理工,,https://www.just.edu.cn
常州大学,江苏,常州,理工,,https://www.cczu.edu.cn
徐州医科大学,江苏,徐州,医药,,https://www.xzhmu.edu.cn
江苏师范大学,江苏,徐州,师范,,https://www.jsnu.edu.cn
南京艺术学院,江苏,南京,艺术,,https://www.nua.edu.cn
苏州科技大学,江苏,苏州,理工,,https://www.usts.edu.cn
西交利物浦大学,江苏,苏州,综合,,https://www.xjtlu.edu.cn
昆山杜克大学,江苏,昆山,综合,,https://dukekunshan.edu.cn
浙江大学,浙江,杭州,综合,985|211|双一流,https://www.zju.edu.cn
宁波大学,浙江,宁波,综合,双一流,https://www.nbu.edu.cn
浙江工业大学,浙江,杭州,理工,,https://www.zjut.edu.cn
浙江师范大学,浙江,金华,师范,,https://www.zjnu.edu.cn
杭州电子科技大学,浙江,杭州,理工,,https://www.hdu.edu.cn
浙江理工大学,浙江,杭州,理工,,https://www.zstu.edu.cn
浙江工商大学,浙江,杭州,财经,,https://www.zjsu.edu.cn
中国计量大学,浙江,杭州,理工,,https://www.cjlu.edu.cn
浙江中医药大学,浙江,杭州,医药,,https://www.zcmu.edu.cn
温州医科大学,浙江,温州,医药,,https://www.wmu.edu.cn
浙江财经大学,浙江,杭州,财经,,https://www.zufe.edu.cn
杭州师范大学,浙江,杭州,师范,,https://www.hznu.edu.cn
温州大学,浙江,温州,综合,,https://www.wzu.edu.cn
浙江农林大学,浙江,杭州,农林,,https://www.zafu.edu.cn
湖州师范学院,浙江,湖州,师范,,https://www.zjhu.edu.cn
绍兴文理学院,浙江,绍兴,综合,,https://www.usx.edu.cn
浙江海洋大学,浙江,舟山,农林,,https://www.zjou.edu.cn
中国美术学院,浙江,杭州,艺术,双一流,https://www.caa.edu.cn
宁波诺丁汉大学,浙江,宁波,综合,,https://www.nottingham.edu.cn
浙江传媒学院,浙江,杭州,语言,,https://www.zjicm.edu.cn
嘉兴学院,浙江,嘉兴,综合,,https://www.zjxu.edu.cn
浙江万里学院,浙江,宁波,理工,,https://www.zwu.edu.cn
丽水学院,浙江,丽水,综合,,https://www.lsu.edu.cn
台州学院,浙江,台州,综合,,https://www.tzc.edu.cn
衢州学院,浙江,衢州,理工,,https://www.qzc.edu.cn
武汉大学,湖北,武汉,综合,985|211|双一流,https://www.whu.edu.cn
华中科技大学,湖北,武汉,理工,985|211|双一流,https://www.hust.edu.cn
华中师范大学,湖北,武汉,师范,211|双一流,https://www.ccnu.edu.cn
武汉理工大学,湖北,武汉,理工,211|双一流,https://www.whut.edu.cn
中国地质大学（武汉）,湖北,武汉,理工,211|双一流,https://www.cug.edu.cn
华中农业大学,湖北,武汉,农林,211|双一流,https://www.hzau.edu.cn
中南财经政法大学,湖北,武汉,财经,211|双一流,https://www.zuel.edu.cn
武汉科技大学,湖北,武汉,理工,,https://www.wust.edu.cn
湖北大学,湖北,武汉,综合,,https://www.hubu.edu.cn
中南民族大学,湖北,武汉,民族,,https://www.scuec.edu.cn
武汉工程大学,湖北,武汉,理工,,https://www.wit.edu.cn
湖北工业大学,湖北,武汉,理工,,https://www.hbut.edu.cn
武汉纺织大学,湖北,武汉,理工,,https://www.wuse.edu.cn
三峡大学,湖北,宜昌,综合,,https://www.ctgu.edu.cn
长江大学,湖北,荆州,综合,,https://www.yangtzeu.edu.cn
湖北师范大学,湖北,黄石,师范,,https://www.hbnu.edu.cn
武汉体育学院,湖北,武汉,体育,,https://www.whsu.edu.cn
湖北美术学院,湖北,武汉,艺术,,https://www.hifa.edu.cn
武汉音乐学院,湖北,武汉,艺术,,https://www.whcm.edu.cn
黄冈师范学院,湖北,黄冈,师范,,https://www.hgnu.edu.cn
湖北文理学院,湖北,襄阳,综合,,https://www.hbuas.edu.cn
湖北经济学院,湖北,武汉,财经,,https://www.hbue.edu.cn
江汉大学,湖北,武汉,综合,,https://www.jhun.edu.cn
中南大学,湖南,长沙,综合,985|211|双一流,https://www.csu.edu.cn
湖南大学,湖南,长沙,综合,985|211|双一流,https://www.hnu.edu.cn
湖南师范大学,湖南,长沙,师范,211|双一流,https://www.hunnu.edu.cn
国防科技大学,湖南,长沙,军事,985|211|双一流,https://www.nudt.edu.cn
长沙理工大学,湖南,长沙,理工,,https://www.csust.edu.cn
湘潭大学,湖南,湘潭,综合,双一流,https://www.xtu.edu.cn
湖南农业大学,湖南,长沙,农林,,https://www.hunau.edu.cn
中南林业科技大学,湖南,长沙,农林,,https://www.csuft.edu.cn
湖南科技大学,湖南,湘潭,综合,,https://www.hnust.edu.cn
南华大学,湖南,衡阳,综合,,https://www.usc.edu.cn
湖南工业大学,湖南,株洲,理工,,https://www.hut.edu.cn
吉首大学,湖南,湘西,综合,,https://www.jsu.edu.cn
湖南中医药大学,湖南,长沙,医药,,https://www.hnucm.edu.cn
湖南工商大学,湖南,长沙,财经,,https://www.hutb.edu.cn
长沙学院,湖南,长沙,综合,,https://www.ccsu.edu.cn
湖南理工学院,湖南,岳阳,理工,,https://www.hnist.edu.cn
衡阳师范学院,湖南,衡阳,师范,,https://www.hynu.edu.cn
湖南文理学院,湖南,常德,综合,,https://www.huas.edu.cn
湖南工程学院,湖南,湘潭,理工,,https://www.hnie.edu.cn
湖南城市学院,湖南,益阳,综合,,https://www.hncu.edu.cn
长沙理工大学城南学院,湖南,长沙,理工,,https://www.csust.edu.cn
四川大学,四川,成都,综合,985|211|双一流,https://www.scu.edu.cn
电子科技大学,四川,成都,理工,985|211|双一流,https://www.uestc.edu.cn
西南交通大学,四川,成都,理工,211|双一流,https://www.swjtu.edu.cn
西南财经大学,四川,成都,财经,211|双一流,https://www.swufe.edu.cn
四川农业大学,四川,雅安,农林,211|双一流,https://www.sicau.edu.cn
成都理工大学,四川,成都,理工,双一流,https://www.cdut.edu.cn
西南石油大学,四川,成都,理工,双一流,https://www.swpu.edu.cn
成都中医药大学,四川,成都,医药,双一流,https://www.cdutcm.edu.cn
四川师范大学,四川,成都,师范,,https://www.sicnu.edu.cn
西南民族大学,四川,成都,民族,,https://www.swun.edu.cn
西南科技大学,四川,绵阳,理工,,https://www.swust.edu.cn
西华大学,四川,成都,综合,,https://www.xhu.edu.cn
成都信息工程大学,四川,成都,理工,,https://www.cuit.edu.cn
西华师范大学,四川,南充,师范,,https://www.cwnu.edu.cn
四川轻化工大学,四川,自贡,理工,,https://www.suse.edu.cn
中国民用航空飞行学院,四川,德阳,理工,,https://www.cafuc.edu.cn
西南医科大学,四川,泸州,医药,,https://www.swmu.edu.cn
川北医学院,四川,南充,医药,,https://www.nsmc.edu.cn
成都体育学院,四川,成都,体育,,https://www.cdsu.edu.cn
四川音乐学院,四川,成都,艺术,,https://www.sccm.edu.cn
四川美术学院,四川,重庆,艺术,,https://www.scfai.edu.cn
绵阳师范学院,四川,绵阳,师范,,https://www.mtc.edu.cn
内江师范学院,四川,内江,师范,,https://www.njit.edu.cn
宜宾学院,四川,宜宾,综合,,https://www.yibinu.edu.cn
攀枝花学院,四川,攀枝花,综合,,https://www.pzhu.edu.cn
重庆大学,重庆,重庆,综合,985|211|双一流,https://www.cqu.edu.cn
西南大学,重庆,重庆,综合,211|双一流,https://www.swu.edu.cn
重庆邮电大学,重庆,重庆,理工,,https://www.cqupt.edu.cn
重庆交通大学,重庆,重庆,理工,,https://www.cqjtu.edu.cn
重庆医科大学,重庆,重庆,医药,,https://www.cqmu.edu.cn
重庆师范大学,重庆,重庆,师范,,https://www.cqnu.edu.cn
重庆工商大学,重庆,重庆,财经,,https://www.ctbu.edu.cn
重庆理工大学,重庆,重庆,理工,,https://www.cqut.edu.cn
重庆科技学院,重庆,重庆,理工,,https://www.cqust.edu.cn
四川外国语大学,重庆,重庆,语言,,https://www.sisu.edu.cn
西南政法大学,重庆,重庆,政法,,https://www.swupl.edu.cn
重庆文理学院,重庆,重庆,综合,,https://www.cqwu.edu.cn
长江师范学院,重庆,重庆,师范,,https://www.yznu.edu.cn
重庆三峡学院,重庆,重庆,综合,,https://www.sanxiau.edu.cn
西安交通大学,陕西,西安,综合,985|211|双一流,https://www.xjtu.edu.cn
西北工业大学,陕西,西安,理工,985|211|双一流,https://www.nwpu.edu.cn
西安电子科技大学,陕西,西安,理工,211|双一流,https://www.xidian.edu.cn
西北大学,陕西,西安,综合,211|双一流,https://www.nwu.edu.cn
长安大学,陕西,西安,理工,211|双一流,https://www.chd.edu.cn
陕西师范大学,陕西,西安,师范,211|双一流,https://www.snnu.edu.cn
西北农林科技大学,陕西,咸阳,农林,985|211|双一流,https://www.nwafu.edu.cn
西安理工大学,陕西,西安,理工,,https://www.xaut.edu.cn
西安建筑科技大学,陕西,西安,理工,,https://www.xauat.edu.cn
西安科技大学,陕西,西安,理工,,https://www.xust.edu.cn
西安石油大学,陕西,西安,理工,,https://www.xsyu.edu.cn
陕西科技大学,陕西,西安,理工,,https://www.sust.edu.cn
西安工程大学,陕西,西安,理工,,https://www.xpu.edu.cn
西安工业大学,陕西,西安,理工,,https://www.xatu.edu.cn
西安外国语大学,陕西,西安,语言,,https://www.xisu.edu.cn
西北政法大学,陕西,西安,政法,,https://www.nwupl.edu.cn
西安邮电大学,陕西,西安,理工,,https://www.xiyou.edu.cn
西安财经大学,陕西,西安,财经,,https://www.xufe.edu.cn
延安大学,陕西,延安,综合,,https://www.yau.edu.cn
陕西中医药大学,陕西,咸阳,医药,,https://www.sntcm.edu.cn
西安医学院,陕西,西安,医药,,https://www.xiyi.edu.cn
西安文理学院,陕西,西安,综合,,https://www.xawl.edu.cn
宝鸡文理学院,陕西,宝鸡,综合,,https://www.bjwlxy.edu.cn
陕西理工大学,陕西,汉中,理工,,https://www.snut.edu.cn
西安美术学院,陕西,西安,艺术,,https://www.xafa.edu.cn
西安音乐学院,陕西,西安,艺术,,https://www.xacom.edu.cn
西安体育学院,陕西,西安,体育,,https://www.xaipe.edu.cn
山东大学,山东,济南,综合,985|211|双一流,https://www.sdu.edu.cn
中国海洋大学,山东,青岛,综合,985|211|双一流,https://www.ouc.edu.cn
中国石油大学（华东）,山东,青岛,理工,211|双一流,https://www.upc.edu.cn
山东师范大学,山东,济南,师范,,https://www.sdnu.edu.cn
青岛大学,山东,青岛,综合,,https://www.qdu.edu.cn
山东科技大学,山东,青岛,理工,,https://www.sdust.edu.cn
济南大学,山东,济南,综合,,https://www.ujn.edu.cn
山东农业大学,山东,泰安,农林,,https://www.sdau.edu.cn
曲阜师范大学,山东,曲阜,师范,,https://www.qfnu.edu.cn
山东财经大学,山东,济南,财经,,https://www.sdufe.edu.cn
青岛科技大学,山东,青岛,理工,,https://www.qust.edu.cn
山东理工大学,山东,淄博,理工,,https://www.sdut.edu.cn
烟台大学,山东,烟台,综合,,https://www.ytu.edu.cn
山东中医药大学,山东,济南,医药,,https://www.sdutcm.edu.cn
鲁东大学,山东,烟台,综合,,https://www.ldu.edu.cn
聊城大学,山东,聊城,综合,,https://www.lcu.edu.cn
青岛理工大学,山东,青岛,理工,,https://www.qtech.edu.cn
山东建筑大学,山东,济南,理工,,https://www.sdjzu.edu.cn
齐鲁工业大学,山东,济南,理工,,https://www.qlu.edu.cn
临沂大学,山东,临沂,综合,,https://www.lyu.edu.cn
山东第一医科大学,山东,济南,医药,,https://www.sdfmu.edu.cn
潍坊医学院,山东,潍坊,医药,,https://www.wfmc.edu.cn
滨州医学院,山东,滨州,医药,,https://www.bzmc.edu.cn
济宁医学院,山东,济宁,医药,,https://www.jnmc.edu.cn
山东工艺美术学院,山东,济南,艺术,,https://www.sdada.edu.cn
山东艺术学院,山东,济南,艺术,,https://www.sdca.edu.cn
山东体育学院,山东,济南,体育,,https://www.sdpei.edu.cn
南开大学,天津,天津,综合,985|211|双一流,https://www.nankai.edu.cn
天津大学,天津,天津,理工,985|211|双一流,https://www.tju.edu.cn
天津医科大学,天津,天津,医药,211|双一流,https://www.tmu.edu.cn
天津工业大学,天津,天津,理工,双一流,https://www.tiangong.edu.cn
天津中医药大学,天津,天津,医药,双一流,https://www.tjutcm.edu.cn
天津师范大学,天津,天津,师范,,https://www.tjnu.edu.cn
天津财经大学,天津,天津,财经,,https://www.tjufe.edu.cn
天津理工大学,天津,天津,理工,,https://www.tjut.edu.cn
天津科技大学,天津,天津,理工,,https://www.tust.edu.cn
中国民航大学,天津,天津,理工,,https://www.cauc.edu.cn
天津外国语大学,天津,天津,语言,,https://www.tjfsu.edu.cn
天津商业大学,天津,天津,财经,,https://www.tjcu.edu.cn
天津城建大学,天津,天津,理工,,https://www.tcu.edu.cn
天津体育学院,天津,天津,体育,,https://www.tjus.edu.cn
天津音乐学院,天津,天津,艺术,,https://www.tjcm.edu.cn
天津美术学院,天津,天津,艺术,,https://www.tjarts.edu.cn
天津农学院,天津,天津,农林,,https://www.tjau.edu.cn
天津职业技术师范大学,天津,天津,师范,,https://www.tute.edu.cn
厦门大学,福建,厦门,综合,985|211|双一流,https://www.xmu.edu.cn
福州大学,福建,福州,理工,211|双一流,https://www.fzu.edu.cn
福建师范大学,福建,福州,师范,,https://www.fjnu.edu.cn
福建农林大学,福建,福州,农林,,https://www.fafu.edu.cn
华侨大学,福建,泉州,综合,,https://www.hqu.edu.cn
集美大学,福建,厦门,综合,,https://www.jmu.edu.cn
福建医科大学,福建,福州,医药,,https://www.fjmu.edu.cn
福建中医药大学,福建,福州,医药,,https://www.fjtcm.edu.cn
闽南师范大学,福建,漳州,师范,,https://www.mnnu.edu.cn
福建工程学院,福建,福州,理工,,https://www.fjut.edu.cn
厦门理工学院,福建,厦门,理工,,https://www.xmut.edu.cn
闽江学院,福建,福州,综合,,https://www.mju.edu.cn
泉州师范学院,福建,泉州,师范,,https://www.qztc.edu.cn
福建江夏学院,福建,福州,财经,,https://www.fjjxu.edu.cn
龙岩学院,福建,龙岩,综合,,https://www.lyun.edu.cn
武夷学院,福建,南平,综合,,https://www.wuyiu.edu.cn
莆田学院,福建,莆田,综合,,https://www.ptu.edu.cn
中国科学技术大学,安徽,合肥,理工,985|211|双一流,https://www.ustc.edu.cn
合肥工业大学,安徽,合肥,理工,211|双一流,https://www.hfut.edu.cn
安徽大学,安徽,合肥,综合,211|双一流,https://www.ahu.edu.cn
安徽师范大学,安徽,芜湖,师范,,https://www.ahnu.edu.cn
安徽医科大学,安徽,合肥,医药,,https://www.ahmu.edu.cn
安徽农业大学,安徽,合肥,农林,,https://www.ahau.edu.cn
安徽工业大学,安徽,马鞍山,理工,,https://www.ahut.edu.cn
安徽理工大学,安徽,淮南,理工,,https://www.aust.edu.cn
安徽财经大学,安徽,蚌埠,财经,,https://www.aufe.edu.cn
安徽建筑大学,安徽,合肥,理工,,https://www.ahjzu.edu.cn
安徽中医药大学,安徽,合肥,医药,,https://www.ahtcm.edu.cn
淮北师范大学,安徽,淮北,师范,,https://www.chnu.edu.cn
安徽工程大学,安徽,芜湖,理工,,https://www.ahpu.edu.cn
蚌埠医科大学,安徽,蚌埠,医药,,https://www.bbmc.edu.cn
安庆师范大学,安徽,安庆,师范,,https://www.aqnu.edu.cn
阜阳师范大学,安徽,阜阳,师范,,https://www.fynu.edu.cn
合肥学院,安徽,合肥,综合,,https://www.hfuu.edu.cn
铜陵学院,安徽,铜陵,财经,,https://www.tlu.edu.cn
皖南医学院,安徽,芜湖,医药,,https://www.wnmc.edu.cn
安徽科技学院,安徽,蚌埠,理工,,https://www.ahstu.edu.cn
郑州大学,河南,郑州,综合,211|双一流,https://www.zzu.edu.cn
河南大学,河南,开封,综合,双一流,https://www.henu.edu.cn
河南师范大学,河南,新乡,师范,,https://www.htu.edu.cn
河南农业大学,河南,郑州,农林,,https://www.henau.edu.cn
河南科技大学,河南,洛阳,综合,,https://www.haust.edu.cn
河南理工大学,河南,焦作,理工,,https://www.hpu.edu.cn
河南工业大学,河南,郑州,理工,,https://www.haut.edu.cn
华北水利水电大学,河南,郑州,理工,,https://www.ncwu.edu.cn
郑州轻工业大学,河南,郑州,理工,,https://www.zzuli.edu.cn
河南中医药大学,河南,郑州,医药,,https://www.hactcm.edu.cn
新乡医学院,河南,新乡,医药,,https://www.xxmu.edu.cn
信阳师范大学,河南,信阳,师范,,https://www.xynu.edu.cn
河南财经政法大学,河南,郑州,财经,,https://www.huel.edu.cn
中原工学院,河南,郑州,理工,,https://www.zut.edu.cn
郑州航空工业管理学院,河南,郑州,理工,,https://www.zia.edu.cn
洛阳理工学院,河南,洛阳,理工,,https://www.lit.edu.cn
南阳理工学院,河南,南阳,理工,,https://www.nyist.edu.cn
安阳师范学院,河南,安阳,师范,,https://www.aynu.edu.cn
南阳师范学院,河南,南阳,师范,,https://www.nynu.edu.cn
洛阳师范学院,河南,洛阳,师范,,https://www.lynu.edu.cn
商丘师范学院,河南,商丘,师范,,https://www.sqnu.edu.cn
周口师范学院,河南,周口,师范,,https://www.zknu.edu.cn
许昌学院,河南,许昌,综合,,https://www.xcu.edu.cn
黄淮学院,河南,驻马店,综合,,https://www.huanghuai.edu.cn
平顶山学院,河南,平顶山,综合,,https://www.pdsu.edu.cn
河南城建学院,河南,平顶山,理工,,https://www.hncj.edu.cn
河南牧业经济学院,河南,郑州,农林,,https://www.hnuahe.edu.cn
郑州师范学院,河南,郑州,师范,,https://www.zznu.edu.cn
河北工业大学,河北,天津,理工,211|双一流,https://www.hebut.edu.cn
燕山大学,河北,秦皇岛,综合,,https://www.ysu.edu.cn
河北大学,河北,保定,综合,,https://www.hbu.edu.cn
河北师范大学,河北,石家庄,师范,,https://www.hebtu.edu.cn
河北医科大学,河北,石家庄,医药,,https://www.hebmu.edu.cn
河北农业大学,河北,保定,农林,,https://www.hebau.edu.cn
石家庄铁道大学,河北,石家庄,理工,,https://www.stdu.edu.cn
河北科技大学,河北,石家庄,理工,,https://www.hebust.edu.cn
华北理工大学,河北,唐山,综合,,https://www.ncst.edu.cn
河北工程大学,河北,邯郸,理工,,https://www.hebeu.edu.cn
河北经贸大学,河北,石家庄,财经,,https://www.heuet.edu.cn
河北地质大学,河北,石家庄,理工,,https://www.hgu.edu.cn
河北中医药大学,河北,石家庄,医药,,https://www.hebcm.edu.cn
承德医学院,河北,承德,医药,,https://www.cdmc.edu.cn
河北科技师范学院,河北,秦皇岛,师范,,https://www.hevttc.edu.cn
唐山师范学院,河北,唐山,师范,,https://www.tstc.edu.cn
廊坊师范学院,河北,廊坊,师范,,https://www.lfnu.edu.cn
邢台学院,河北,邢台,综合,,https://www.xttc.edu.cn
邯郸学院,河北,邯郸,综合,,https://www.hdxy.edu.cn
衡水学院,河北,衡水,综合,,https://www.hsnc.edu.cn
河北北方学院,河北,张家口,综合,,https://www.hebeinu.edu.cn
保定学院,河北,保定,综合,,https://www.bdu.edu.cn
张家口学院,河北,张家口,综合,,https://www.zjku.edu.cn
河北建筑工程学院,河北,张家口,理工,,https://www.hebiace.edu.cn
北华航天工业学院,河北,廊坊,理工,,https://www.nciae.edu.cn
防灾科技学院,河北,廊坊,理工,,https://www.cidp.edu.cn
河北体育学院,河北,石家庄,体育,,https://www.hepec.edu.cn
大连理工大学,辽宁,大连,理工,985|211|双一流,https://www.dlut.edu.cn
东北大学,辽宁,沈阳,理工,985|211|双一流,https://www.neu.edu.cn
大连海事大学,辽宁,大连,理工,211|双一流,https://www.dlmu.edu.cn
辽宁大学,辽宁,沈阳,综合,211|双一流,https://www.lnu.edu.cn
东北财经大学,辽宁,大连,财经,,https://www.dufe.edu.cn
大连医科大学,辽宁,大连,医药,,https://www.dmu.edu.cn
沈阳药科大学,辽宁,沈阳,医药,,https://www.syphu.edu.cn
辽宁师范大学,辽宁,大连,师范,,https://www.lnnu.edu.cn
大连交通大学,辽宁,大连,理工,,https://www.djtu.edu.cn
沈阳建筑大学,辽宁,沈阳,理工,,https://www.sjzu.edu.cn
大连工业大学,辽宁,大连,理工,,https://www.dpu.edu.cn
沈阳工业大学,辽宁,沈阳,理工,,https://www.sut.edu.cn
