university,province,subject_type,year,min_score,min_rank
杭州电子科技大学,湖北,物理,2024,569,3300,577
杭州电子科技大学,湖北,物理,2023,566,3450,574
杭州电子科技大学,湖北,物理,2022,564,3600,572
杭州电子科技大学,四川,理科,2024,579,2800,587
杭州电子科技大学,四川,理科,2023,576,2950,584
杭州电子科技大学,四川,理科,2022,574,3100,582
南京邮电大学,江苏,物理,2024,568,3400,576
南京邮电大学,江苏,物理,2023,565,3550,573
南京邮电大学,江苏,物理,2022,563,3700,571
南京邮电大学,广东,物理,2024,566,3500,574
南京邮电大学,广东,物理,2023,563,3650,571
南京邮电大学,广东,物理,2022,561,3800,569
南京邮电大学,浙江,综合,2024,578,2800,586
南京邮电大学,浙江,综合,2023,575,2950,583
南京邮电大学,浙江,综合,2022,573,3100,581
南京邮电大学,山东,综合,2024,570,3250,578
南京邮电大学,山东,综合,2023,567,3400,575
南京邮电大学,山东,综合,2022,565,3550,573
南京邮电大学,湖北,物理,2024,564,3600,572
南京邮电大学,湖北,物理,2023,561,3750,569
南京邮电大学,湖北,物理,2022,559,3900,567
南京邮电大学,四川,理科,2024,574,3050,582
南京邮电大学,四川,理科,2023,571,3200,579
南京邮电大学,四川,理科,2022,569,3350,577
成都理工大学,四川,理科,2024,553,4600,561
成都理工大学,四川,理科,2023,550,4750,558
成都理工大学,四川,理科,2022,548,4900,556
成都理工大学,广东,物理,2024,546,4900,554
成都理工大学,广东,物理,2023,543,5050,551
成都理工大学,广东,物理,2022,541,5200,549
成都理工大学,浙江,综合,2024,560,4100,568
成都理工大学,浙江,综合,2023,557,4250,565
成都理工大学,浙江,综合,2022,555,4400,563
成都理工大学,山东,综合,2024,552,4650,560
成都理工大学,山东,综合,2023,549,4800,557
成都理工大学,山东,综合,2022,547,4950,555
成都理工大学,湖北,物理,2024,544,5000,552
成都理工大学,湖北,物理,2023,541,5150,549
成都理工大学,湖北,物理,2022,539,5300,547
长沙理工大学,湖南,物理,2024,543,5100,551
长沙理工大学,湖南,物理,2023,540,5250,548
长沙理工大学,湖南,物理,2022,538,5400,546
长沙理工大学,广东,物理,2024,538,5350,546
长沙理工大学,广东,物理,2023,535,5500,543
长沙理工大学,广东,物理,2022,533,5650,541
长沙理工大学,浙江,综合,2024,553,4600,561
长沙理工大学,浙江,综合,2023,550,4750,558
长沙理工大学,浙江,综合,2022,548,4900,556
长沙理工大学,山东,综合,2024,545,4950,553
长沙理工大学,山东,综合,2023,542,5100,550
长沙理工大学,山东,综合,2022,540,5250,548
长沙理工大学,湖北,物理,2024,536,5400,544
长沙理工大学,湖北,物理,2023,533,5550,541
长沙理工大学,湖北,物理,2022,531,5700,539
长沙理工大学,四川,理科,2024,548,4800,556
长沙理工大学,四川,理科,2023,545,4950,553
长沙理工大学,四川,理科,2022,543,5100,551
重庆邮电大学,重庆,物理,2024,538,5350,546
重庆邮电大学,重庆,物理,2023,535,5500,543
重庆邮电大学,重庆,物理,2022,533,5650,541
重庆邮电大学,广东,物理,2024,533,5600,541
重庆邮电大学,广东,物理,2023,530,5750,538
重庆邮电大学,广东,物理,2022,528,5900,536
重庆邮电大学,浙江,综合,2024,548,4800,556
重庆邮电大学,浙江,综合,2023,545,4950,553
重庆邮电大学,浙江,综合,2022,543,5100,551
重庆邮电大学,山东,综合,2024,540,5200,548
重庆邮电大学,山东,综合,2023,537,5350,545
重庆邮电大学,山东,综合,2022,535,5500,543
重庆邮电大学,湖北,物理,2024,531,5700,539
重庆邮电大学,湖北,物理,2023,528,5850,536
重庆邮电大学,湖北,物理,2022,526,6000,534
重庆邮电大学,四川,理科,2024,543,5100,551
重庆邮电大学,四川,理科,2023,540,5250,548
重庆邮电大学,四川,理科,2022,538,5400,546
西安理工大学,陕西,理科,2024,518,7200,526
西安理工大学,陕西,理科,2023,515,7400,523
西安理工大学,陕西,理科,2022,513,7600,521
西安理工大学,广东,物理,2024,513,7400,521
西安理工大学,广东,物理,2023,510,7600,518
西安理工大学,广东,物理,2022,508,7800,516
西安理工大学,浙江,综合,2024,530,5800,538
西安理工大学,浙江,综合,2023,527,6000,535
西安理工大学,浙江,综合,2022,525,6200,533
西安理工大学,山东,综合,2024,522,6600,530
西安理工大学,山东,综合,2023,519,6800,527
西安理工大学,山东,综合,2022,517,7000,525
西安理工大学,湖北,物理,2024,511,7500,519
西安理工大学,湖北,物理,2023,508,7700,516
西安理工大学,湖北,物理,2022,506,7900,514
西安理工大学,四川,理科,2024,526,6300,534
西安理工大学,四川,理科,2023,523,6500,531
西安理工大学,四川,理科,2022,521,6700,529
昆明理工大学,云南,理科,2024,508,8200,516
昆明理工大学,云南,理科,2023,505,8400,513
昆明理工大学,云南,理科,2022,503,8600,511
昆明理工大学,广东,物理,2024,503,8500,511
昆明理工大学,广东,物理,2023,500,8700,508
昆明理工大学,广东,物理,2022,498,8900,506
昆明理工大学,浙江,综合,2024,520,6800,528
昆明理工大学,浙江,综合,2023,517,7000,525
昆明理工大学,浙江,综合,2022,515,7200,523
昆明理工大学,山东,综合,2024,512,7600,520
昆明理工大学,山东,综合,2023,509,7800,517
昆明理工大学,山东,综合,2022,507,8000,515
昆明理工大学,湖北,物理,2024,501,8600,509
昆明理工大学,湖北,物理,2023,498,8800,506
昆明理工大学,湖北,物理,2022,496,9000,504
昆明理工大学,四川,理科,2024,516,7300,524
昆明理工大学,四川,理科,2023,513,7500,521
昆明理工大学,四川,理科,2022,511,7700,519
黄河科技学院,河南,理科,2024,428,26000,436
黄河科技学院,河南,理科,2023,425,27000,433
黄河科技学院,河南,理科,2022,423,28000,431
黄河科技学院,河南,文科,2024,443,23000,451
黄河科技学院,河南,文科,2023,440,24000,448
黄河科技学院,河南,文科,2022,438,25000,446
黄河科技学院,广东,物理,2024,438,25000,446
黄河科技学院,广东,物理,2023,435,26000,443
黄河科技学院,广东,物理,2022,433,27000,441
武昌首义学院,湖北,物理,2024,438,25000,446
武昌首义学院,湖北,物理,2023,435,26000,443
武昌首义学院,湖北,物理,2022,433,27000,441
武昌首义学院,湖北,历史,2024,453,22000,461
武昌首义学院,湖北,历史,2023,450,23000,458
武昌首义学院,湖北,历史,2022,448,24000,456
武昌首义学院,广东,物理,2024,433,26500,441
武昌首义学院,广东,物理,2023,430,27500,438
武昌首义学院,广东,物理,2022,428,28500,436
西安欧亚学院,陕西,理科,2024,418,28000,426
西安欧亚学院,陕西,理科,2023,415,29000,423
西安欧亚学院,陕西,理科,2022,413,30000,421
西安欧亚学院,陕西,文科,2024,433,26000,441
西安欧亚学院,陕西,文科,2023,430,27000,438
西安欧亚学院,陕西,文科,2022,428,28000,436
西安欧亚学院,广东,物理,2024,423,27000,431
西安欧亚学院,广东,物理,2023,420,28000,428
西安欧亚学院,广东,物理,2022,418,29000,426
山东英才学院,山东,综合,2024,438,25000,446
山东英才学院,山东,综合,2023,435,26000,443
山东英才学院,山东,综合,2022,433,27000,441
山东英才学院,广东,物理,2024,428,27000,436
山东英才学院,广东,物理,2023,425,28000,433
山东英才学院,广东,物理,2022,423,29000,431
山东英才学院,河南,理科,2024,433,26500,441
山东英才学院,河南,理科,2023,430,27500,438
山东英才学院,河南,理科,2022,428,28500,436
北京城市学院,北京,综合,2024,448,22000,456
北京城市学院,北京,综合,2023,445,23000,453
北京城市学院,北京,综合,2022,443,24000,451
北京城市学院,广东,物理,2024,436,25500,444
北京城市学院,广东,物理,2023,433,26500,441
北京城市学院,广东,物理,2022,431,27500,439
北京城市学院,山东,综合,2024,440,24500,448
北京城市学院,山东,综合,2023,437,25500,445
北京城市学院,山东,综合,2022,435,26500,443
