province,subject_type,year,score,count,cumulative_count,cumulative_ratio
广东,物理,2025,475,366,8256,7.72
广东,物理,2025,470,375,8631,8.07
广东,物理,2025,465,383,9014,8.42
广东,物理,2025,460,392,9406,8.79
广东,物理,2025,455,400,9806,9.16
广东,物理,2025,450,408,10214,9.55
浙江,综合,2025,695,6,6,0.01
浙江,综合,2025,690,10,16,0.02
浙江,综合,2025,685,15,31,0.04
浙江,综合,2025,680,22,53,0.07
浙江,综合,2025,675,30,83,0.11
浙江,综合,2025,670,38,121,0.16
浙江,综合,2025,665,46,167,0.22
浙江,综合,2025,660,54,221,0.29
浙江,综合,2025,655,62,283,0.37
浙江,综合,2025,650,70,353,0.46
浙江,综合,2025,645,78,431,0.57
浙江,综合,2025,640,86,517,0.68
浙江,综合,2025,635,94,611,0.8
浙江,综合,2025,630,102,713,0.94
浙江,综合,2025,625,110,823,1.08
浙江,综合,2025,620,118,941,1.24
浙江,综合,2025,615,126,1067,1.4
浙江,综合,2025,610,134,1201,1.58
浙江,综合,2025,605,142,1343,1.77
浙江,综合,2025,600,150,1493,1.96
浙江,综合,2025,595,158,1651,2.17
浙江,综合,2025,590,166,1817,2.39
浙江,综合,2025,585,174,1991,2.62
浙江,综合,2025,580,182,2173,2.86
浙江,综合,2025,575,190,2363,3.11
浙江,综合,2025,570,198,2561,3.37
浙江,综合,2025,565,206,2767,3.64
浙江,综合,2025,560,214,2981,3.92
浙江,综合,2025,555,222,3203,4.21
浙江,综合,2025,550,230,3433,4.52
浙江,综合,2025,545,238,3671,4.83
浙江,综合,2025,540,246,3917,5.15
浙江,综合,2025,535,254,4171,5.49
浙江,综合,2025,530,262,4433,5.83
浙江,综合,2025,525,270,4703,6.19
浙江,综合,2025,520,278,4981,6.55
浙江,综合,2025,515,286,5267,6.93
浙江,综合,2025,510,294,5561,7.32
浙江,综合,2025,505,302,5863,7.71
浙江,综合,2025,500,310,6173,8.12
山东,综合,2025,690,10,10,0.01
山东,综合,2025,685,15,25,0.03
山东,综合,2025,680,22,47,0.05
山东,综合,2025,675,30,77,0.08
山东,综合,2025,670,38,115,0.12
山东,综合,2025,665,46,161,0.17
山东,综合,2025,660,54,215,0.23
山东,综合,2025,655,62,277,0.29
山东,综合,2025,650,70,347,0.37
山东,综合,2025,645,78,425,0.45
山东,综合,2025,640,86,511,0.54
山东,综合,2025,635,94,605,0.64
山东,综合,2025,630,102,707,0.75
山东,综合,2025,625,110,817,0.86
山东,综合,2025,620,118,935,0.99
山东,综合,2025,615,126,1061,1.12
山东,综合,2025,610,134,1195,1.26
山东,综合,2025,605,142,1337,1.41
山东,综合,2025,600,150,1487,1.57
山东,综合,2025,595,158,1645,1.74
山东,综合,2025,590,166,1811,1.91
山东,综合,2025,585,174,1985,2.1
山东,综合,2025,580,182,2167,2.29
山东,综合,2025,575,190,2357,2.49
山东,综合,2025,570,198,2555,2.7
山东,综合,2025,565,206,2761,2.92
山东,综合,2025,560,214,2975,3.14
山东,综合,2025,555,222,3197,3.38
山东,综合,2025,550,230,3427,3.62
山东,综合,2025,545,238,3665,3.87
山东,综合,2025,540,246,3911,4.13
山东,综合,2025,535,254,4165,4.4
山东,综合,2025,530,262,4427,4.68
山东,综合,2025,525,270,4697,4.96
山东,综合,2025,520,278,4975,5.26
山东,综合,2025,515,286,5261,5.56
山东,综合,2025,510,294,5555,5.87
山东,综合,2025,505,302,5857,6.19
山东,综合,2025,500,310,6167,6.52
湖北,物理,2025,690,10,10,0.01
湖北,物理,2025,685,15,25,0.03
湖北,物理,2025,680,22,47,0.05
湖北,物理,2025,675,30,77,0.08
湖北,物理,2025,670,38,115,0.12
湖北,物理,2025,665,46,161,0.17
湖北,物理,2025,660,54,215,0.23
湖北,物理,2025,655,62,277,0.29
湖北,物理,2025,650,70,347,0.37
湖北,物理,2025,645,78,425,0.45
湖北,物理,2025,640,86,511,0.54
湖北,物理,2025,635,94,605,0.64
湖北,物理,2025,630,102,707,0.75
湖北,物理,2025,625,110,817,0.86
湖北,物理,2025,620,118,935,0.99
湖北,物理,2025,615,126,1061,1.12
湖北,物理,2025,610,134,1195,1.26
湖北,物理,2025,605,142,1337,1.41
湖北,物理,2025,600,150,1487,1.57
湖北,物理,2025,595,158,1645,1.74
湖北,物理,2025,590,166,1811,1.91
湖北,物理,2025,585,174,1985,2.1
湖北,物理,2025,580,182,2167,2.29
湖北,物理,2025,575,190,2357,2.49
湖北,物理,2025,570,198,2555,2.7
湖北,物理,2025,565,206,2761,2.92
湖北,物理,2025,560,214,2975,3.14
湖北,物理,2025,555,222,3197,3.38
湖北,物理,2025,550,230,3427,3.62
湖北,物理,2025,545,238,3665,3.87
湖北,物理,2025,540,246,3911,4.13
湖北,物理,2025,535,254,4165,4.4
湖北,物理,2025,530,262,4427,4.68
湖北,物理,2025,525,270,4697,4.96
湖北,物理,2025,520,278,4975,5.26
湖北,物理,2025,515,286,5261,5.56
湖北,物理,2025,510,294,5555,5.87
湖北,物理,2025,505,302,5857,6.19
湖北,物理,2025,500,310,6167,6.52
四川,理科,2025,695,8,8,0.01
四川,理科,2025,690,12,20,0.02
四川,理科,2025,685,18,38,0.04
四川,理科,2025,680,25,63,0.06
四川,理科,2025,675,33,96,0.09
四川,理科,2025,670,42,138,0.13
四川,理科,2025,665,50,188,0.17
四川,理科,2025,660,58,246,0.23
四川,理科,2025,655,66,312,0.29
四川,理科,2025,650,75,387,0.36
四川,理科,2025,645,83,470,0.44
四川,理科,2025,640,92,562,0.52
四川,理科,2025,635,100,662,0.62
四川,理科,2025,630,108,770,0.72
四川,理科,2025,625,116,886,0.83
四川,理科,2025,620,125,1011,0.94
四川,理科,2025,615,133,1144,1.07
四川,理科,2025,610,142,1286,1.2
四川,理科,2025,605,150,1436,1.34
四川,理科,2025,600,158,1594,1.49
四川,理科,2025,595,166,1760,1.64
四川,理科,2025,590,175,1935,1.81
四川,理科,2025,585,183,2118,1.98
四川,理科,2025,580,192,2310,2.16
四川,理科,2025,575,200,2510,2.34
四川,理科,2025,570,208,2718,2.54
四川,理科,2025,565,216,2934,2.74
四川,理科,2025,560,225,3159,2.95
四川,理科,2025,555,233,3392,3.17
四川,理科,2025,550,242,3634,3.4
四川,理科,2025,545,250,3884,3.63
四川,理科,2025,540,258,4142,3.87
四川,理科,2025,535,266,4408,4.12
四川,理科,2025,530,275,4683,4.38
四川,理科,2025,525,283,4966,4.64
四川,理科,2025,520,292,5258,4.91
四川,理科,2025,515,300,5558,5.19
四川,理科,2025,510,308,5866,5.48
四川,理科,2025,505,316,6182,5.78
四川,理科,2025,500,325,6507,6.08
湖南,物理,2025,690,10,10,0.01
湖南,物理,2025,685,15,25,0.03
湖南,物理,2025,680,22,47,0.05
湖南,物理,2025,675,30,77,0.08
湖南,物理,2025,670,38,115,0.12
湖南,物理,2025,665,46,161,0.17
湖南,物理,2025,660,54,215,0.23
湖南,物理,2025,655,62,277,0.29
湖南,物理,2025,650,70,347,0.37
湖南,物理,2025,645,78,425,0.45
湖南,物理,2025,640,86,511,0.54
湖南,物理,2025,635,94,605,0.64
湖南,物理,2025,630,102,707,0.75
湖南,物理,2025,625,110,817,0.86
湖南,物理,2025,620,118,935,0.99
湖南,物理,2025,615,126,1061,1.12
湖南,物理,2025,610,134,1195,1.26
湖南,物理,2025,605,142,1337,1.41
湖南,物理,2025,600,150,1487,1.57
湖南,物理,2025,595,158,1645,1.74
湖南,物理,2025,590,166,1811,1.91
湖南,物理,2025,585,174,1985,2.1
湖南,物理,2025,580,182,2167,2.29
湖南,物理,2025,575,190,2357,2.49
湖南,物理,2025,570,198,2555,2.7
湖南,物理,2025,565,206,2761,2.92
湖南,物理,2025,560,214,2975,3.14
湖南,物理,2025,555,222,3197,3.38
湖南,物理,2025,550,230,3427,3.62
湖南,物理,2025,545,238,3665,3.87
湖南,物理,2025,540,246,3911,4.13
湖南,物理,2025,535,254,4165,4.4
湖南,物理,2025,530,262,4427,4.68
湖南,物理,2025,525,270,4697,4.96
湖南,物理,2025,520,278,4975,5.26
湖南,物理,2025,515,286,5261,5.56
湖南,物理,2025,510,294,5555,5.87
湖南,物理,2025,505,302,5857,6.19
湖南,物理,2025,500,310,6167,6.52
河南,理科,2025,695,8,8,0.01
河南,理科,2025,690,12,20,0.02
河南,理科,2025,685,18,38,0.04
河南,理科,2025,680,25,63,0.06
河南,理科,2025,675,33,96,0.09
河南,理科,2025,670,42,138,0.13
河南,理科,2025,665,50,188,0.17
河南,理科,2025,660,58,246,0.23
河南,理科,2025,655,66,312,0.29
河南,理科,2025,650,75,387,0.36
河南,理科,2025,645,83,470,0.44
河南,理科,2025,640,92,562,0.52
河南,理科,2025,635,100,662,0.62
河南,理科,2025,630,108,770,0.72
河南,理科,2025,625,116,886,0.83
河南,理科,2025,620,125,1011,0.94
河南,理科,2025,615,133,1144,1.07
河南,理科,2025,610,142,1286,1.2
河南,理科,2025,605,150,1436,1.34
河南,理科,2025,600,158,1594,1.49
河南,理科,2025,595,166,1760,1.64
河南,理科,2025,590,175,1935,1.81
河南,理科,2025,585,183,2118,1.98
河南,理科,2025,580,192,2310,2.16
河南,理科,2025,575,200,2510,2.34
河南,理科,2025,570,208,2718,2.54
河南,理科,2025,565,216,2934,2.74
河南,理科,2025,560,225,3159,2.95
河南,理科,2025,555,233,3392,3.17
河南,理科,2025,550,242,3634,3.4
河南,理科,2025,545,250,3884,3.63
河南,理科,2025,540,258,4142,3.87
河南,理科,2025,535,266,4408,4.12
河南,理科,2025,530,275,4683,4.38
河南,理科,2025,525,283,4966,4.64
河南,理科,2025,520,292,5258,4.91
河南,理科,2025,515,300,5558,5.19
河南,理科,2025,510,308,5866,5.48
河南,理科,2025,505,316,6182,5.78
河南,理科,2025,500,325,6507,6.08
